trunc_factor,coarsen_type,result
0.0,0,0.079998
0.0,1,0.11333299999999999
0.0,6,0.112115
0.0,8,0.051930000000000004
0.0001,0,0.09288199999999999
0.0001,1,0.114679
0.0001,6,0.115685
0.0001,8,0.056616
0.0002,0,0.085252
0.0002,1,0.11704200000000001
0.0002,6,0.11926300000000001
0.0002,8,0.053275
0.00030000000000000003,0,0.08498700000000001
0.00030000000000000003,1,0.108898
0.00030000000000000003,6,0.116232
0.00030000000000000003,8,0.056782
0.0004,0,0.079233
0.0004,1,0.110529
0.0004,6,0.11159999999999999
0.0004,8,0.058237000000000004
0.0005,0,0.089049
0.0005,1,0.116647
0.0005,6,0.11588300000000001
0.0005,8,0.053575
0.0006000000000000001,0,0.086337
0.0006000000000000001,1,0.105899
0.0006000000000000001,6,0.102164
0.0006000000000000001,8,0.048519
0.0007,0,0.083891
0.0007,1,0.101849
0.0007,6,0.105559
0.0007,8,0.053430000000000005
0.0008,0,0.086868
0.0008,1,0.117472
0.0008,6,0.113495
0.0008,8,0.05013
0.0009000000000000001,0,0.08193500000000001
0.0009000000000000001,1,0.108222
0.0009000000000000001,6,0.121007
0.0009000000000000001,8,0.052275999999999996
0.001,0,0.09223200000000001
0.001,1,0.113579
0.001,6,0.11202999999999999
0.001,8,0.053393
0.0011,0,0.085389
0.0011,1,0.114566
0.0011,6,0.118205
0.0011,8,0.050434
0.0012000000000000001,0,0.085741
0.0012000000000000001,1,0.117165
0.0012000000000000001,6,0.12846
0.0012000000000000001,8,0.053958
0.0013000000000000002,0,0.085695
0.0013000000000000002,1,0.114725
0.0013000000000000002,6,0.118279
0.0013000000000000002,8,0.055313
0.0014,0,0.089644
0.0014,1,0.118862
0.0014,6,0.11372900000000001
0.0014,8,0.053492000000000005
0.0015,0,0.08406
0.0015,1,0.10384600000000001
0.0015,6,0.105103
0.0015,8,0.048917999999999996
0.0016,0,0.082876
0.0016,1,0.11479
0.0016,6,0.106206
0.0016,8,0.051078
0.0017000000000000001,0,0.092528
0.0017000000000000001,1,0.110511
0.0017000000000000001,6,0.10833899999999999
0.0017000000000000001,8,0.056129
0.0018000000000000002,0,0.09193899999999999
0.0018000000000000002,1,0.107836
0.0018000000000000002,6,0.11415900000000001
0.0018000000000000002,8,0.052336999999999995
0.0019,0,0.08943699999999999
0.0019,1,0.10717499999999999
0.0019,6,0.122504
0.0019,8,0.055286
0.002,0,0.091488
0.002,1,0.117422
0.002,6,0.120905
0.002,8,0.055238
0.0021000000000000003,0,0.094637
0.0021000000000000003,1,0.118983
0.0021000000000000003,6,0.120529
0.0021000000000000003,8,0.056733
0.0022,0,0.09780900000000001
0.0022,1,0.11504700000000001
0.0022,6,0.12170299999999999
0.0022,8,0.056238
0.0023,0,0.082968
0.0023,1,0.10109
0.0023,6,0.118831
0.0023,8,0.053781
0.0024000000000000002,0,0.08790600000000001
0.0024000000000000002,1,0.115781
0.0024000000000000002,6,0.119492
0.0024000000000000002,8,0.056518
0.0025,0,0.085691
0.0025,1,0.110277
0.0025,6,0.110322
0.0025,8,0.052087999999999995
0.0026000000000000003,0,0.087696
0.0026000000000000003,1,0.103352
0.0026000000000000003,6,0.103766
0.0026000000000000003,8,0.052988
0.0027,0,0.095131
0.0027,1,0.101323
0.0027,6,0.1133
0.0027,8,0.051959
0.0028,0,0.092656
0.0028,1,0.11039500000000001
0.0028,6,0.114522
0.0028,8,0.053042000000000006
0.0029000000000000002,0,0.09220300000000001
0.0029000000000000002,1,0.11369
0.0029000000000000002,6,0.113449
0.0029000000000000002,8,0.055165000000000006
0.003,0,0.093575
0.003,1,0.102676
0.003,6,0.107718
0.003,8,0.05275199999999999
0.0031000000000000003,0,0.086699
0.0031000000000000003,1,0.10624
0.0031000000000000003,6,0.120347
0.0031000000000000003,8,0.056126999999999996
0.0032,0,0.087573
0.0032,1,0.116667
0.0032,6,0.10776899999999999
0.0032,8,0.049515
0.0033,0,0.09129799999999999
0.0033,1,0.11538100000000001
0.0033,6,0.113287
0.0033,8,0.05208
0.0034000000000000002,0,0.081788
0.0034000000000000002,1,0.111775
0.0034000000000000002,6,0.111073
0.0034000000000000002,8,0.051833000000000004
0.0035,0,0.085316
0.0035,1,0.10378299999999999
0.0035,6,0.11587
0.0035,8,0.050858
0.0036000000000000003,0,0.080246
0.0036000000000000003,1,0.116556
0.0036000000000000003,6,0.117075
0.0036000000000000003,8,0.059502
0.0037,0,0.088949
0.0037,1,0.112523
0.0037,6,0.11511400000000001
0.0037,8,0.0559
0.0038,0,0.093446
0.0038,1,0.106546
0.0038,6,0.11925200000000001
0.0038,8,0.048936
0.0039000000000000003,0,0.09139800000000001
0.0039000000000000003,1,0.11474
0.0039000000000000003,6,0.118456
0.0039000000000000003,8,0.054702
0.004,0,0.07980899999999999
0.004,1,0.11844
0.004,6,0.111646
0.004,8,0.05691499999999999
0.0041,0,0.083755
0.0041,1,0.114708
0.0041,6,0.109871
0.0041,8,0.055938
0.004200000000000001,0,0.08960499999999999
0.004200000000000001,1,0.110918
0.004200000000000001,6,0.119031
0.004200000000000001,8,0.053056000000000006
0.0043,0,0.082636
0.0043,1,0.11813
0.0043,6,0.11680600000000001
0.0043,8,0.051058
0.0044,0,0.091852
0.0044,1,0.12048900000000001
0.0044,6,0.111223
0.0044,8,0.050606
0.0045000000000000005,0,0.092628
0.0045000000000000005,1,0.106356
0.0045000000000000005,6,0.10925499999999999
0.0045000000000000005,8,0.051766
0.0046,0,0.087421
0.0046,1,0.116228
0.0046,6,0.109621
0.0046,8,0.053898
0.0047,0,0.08944099999999999
0.0047,1,0.114978
0.0047,6,0.12281399999999999
0.0047,8,0.0526
0.0048000000000000004,0,0.087723
0.0048000000000000004,1,0.11288
0.0048000000000000004,6,0.109885
0.0048000000000000004,8,0.050694
0.0049,0,0.08632999999999999
0.0049,1,0.103759
0.0049,6,0.111713
0.0049,8,0.053012000000000004
0.005,0,0.090673
0.005,1,0.114501
0.005,6,0.116559
0.005,8,0.053969
0.0051,0,0.09409000000000001
0.0051,1,0.11316599999999999
0.0051,6,0.12061000000000001
0.0051,8,0.052378
0.005200000000000001,0,0.08551
0.005200000000000001,1,0.11755
0.005200000000000001,6,0.115508
0.005200000000000001,8,0.054103
0.0053,0,0.084856
0.0053,1,0.11074999999999999
0.0053,6,0.108932
0.0053,8,0.055500999999999995
0.0054,0,0.093832
0.0054,1,0.116023
0.0054,6,0.11837700000000001
0.0054,8,0.056886
0.0055000000000000005,0,0.093524
0.0055000000000000005,1,0.118993
0.0055000000000000005,6,0.12084400000000001
0.0055000000000000005,8,0.055659
0.0056,0,0.09209400000000001
0.0056,1,0.117056
0.0056,6,0.121812
0.0056,8,0.055279
0.0057,0,0.091626
0.0057,1,0.11269499999999999
0.0057,6,0.113786
0.0057,8,0.056750999999999996
0.0058000000000000005,0,0.093499
0.0058000000000000005,1,0.111852
0.0058000000000000005,6,0.111247
0.0058000000000000005,8,0.050404000000000004
0.0059,0,0.085255
0.0059,1,0.117206
0.0059,6,0.109724
0.0059,8,0.053445000000000006
0.006,0,0.086946
0.006,1,0.10871
0.006,6,0.114205
0.006,8,0.052441999999999996
0.0061,0,0.081717
0.0061,1,0.11015899999999999
0.0061,6,0.112706
0.0061,8,0.048450999999999994
0.006200000000000001,0,0.08746300000000001
0.006200000000000001,1,0.109504
0.006200000000000001,6,0.10538
0.006200000000000001,8,0.051957
0.0063,0,0.080918
0.0063,1,0.107198
0.0063,6,0.115247
0.0063,8,0.055119999999999995
0.0064,0,0.079724
0.0064,1,0.110706
0.0064,6,0.112013
0.0064,8,0.055541999999999994
0.006500000000000001,0,0.092235
0.006500000000000001,1,0.11410500000000001
0.006500000000000001,6,0.119905
0.006500000000000001,8,0.054379
0.0066,0,0.08801300000000001
0.0066,1,0.11460999999999999
0.0066,6,0.119974
0.0066,8,0.05387
0.0067,0,0.090877
0.0067,1,0.112965
0.0067,6,0.110646
0.0067,8,0.049795000000000006
0.0068000000000000005,0,0.084825
0.0068000000000000005,1,0.113513
0.0068000000000000005,6,0.112695
0.0068000000000000005,8,0.053958
0.006900000000000001,0,0.090758
0.006900000000000001,1,0.110034
0.006900000000000001,6,0.108597
0.006900000000000001,8,0.051685999999999996
0.007,0,0.08277999999999999
0.007,1,0.10433
0.007,6,0.117426
0.007,8,0.056004
0.0071,0,0.08565
0.0071,1,0.115642
0.0071,6,0.111073
0.0071,8,0.049373
0.007200000000000001,0,0.084483
0.007200000000000001,1,0.102752
0.007200000000000001,6,0.104423
0.007200000000000001,8,0.049974000000000005
0.0073,0,0.08651
0.0073,1,0.108483
0.0073,6,0.110628
0.0073,8,0.052548000000000004
0.0074,0,0.084534
0.0074,1,0.103628
0.0074,6,0.109987
0.0074,8,0.0518
0.007500000000000001,0,0.085529
0.007500000000000001,1,0.104925
0.007500000000000001,6,0.10782599999999999
0.007500000000000001,8,0.049269999999999994
0.0076,0,0.085184
0.0076,1,0.113069
0.0076,6,0.104484
0.0076,8,0.054872000000000004
0.0077,0,0.08448800000000001
0.0077,1,0.109079
0.0077,6,0.108155
0.0077,8,0.050361
0.0078000000000000005,0,0.085726
0.0078000000000000005,1,0.107301
0.0078000000000000005,6,0.113831
0.0078000000000000005,8,0.051123
0.0079,0,0.083282
0.0079,1,0.11036499999999999
0.0079,6,0.10587300000000001
0.0079,8,0.052552
0.008,0,0.08605
0.008,1,0.112911
0.008,6,0.11199100000000001
0.008,8,0.052670999999999996
0.0081,0,0.086291
0.0081,1,0.10013100000000001
0.0081,6,0.11000700000000001
0.0081,8,0.047692
0.0082,0,0.085753
0.0082,1,0.107739
0.0082,6,0.106028
0.0082,8,0.049285
0.0083,0,0.08776400000000001
0.0083,1,0.10936499999999999
0.0083,6,0.104169
0.0083,8,0.049321000000000004
0.008400000000000001,0,0.080954
0.008400000000000001,1,0.102143
0.008400000000000001,6,0.10689799999999999
0.008400000000000001,8,0.050567
0.0085,0,0.082369
0.0085,1,0.11233699999999999
0.0085,6,0.115741
0.0085,8,0.051156
0.0086,0,0.083037
0.0086,1,0.10233300000000001
0.0086,6,0.10866600000000001
0.0086,8,0.054779
0.008700000000000001,0,0.084447
0.008700000000000001,1,0.109374
0.008700000000000001,6,0.11184200000000001
0.008700000000000001,8,0.052922
0.0088,0,0.089945
0.0088,1,0.11186399999999999
0.0088,6,0.118458
0.0088,8,0.052106
0.0089,0,0.091658
0.0089,1,0.111479
0.0089,6,0.11171
0.0089,8,0.056157
0.009000000000000001,0,0.087589
0.009000000000000001,1,0.104967
0.009000000000000001,6,0.11749899999999999
0.009000000000000001,8,0.052575
0.0091,0,0.085208
0.0091,1,0.106074
0.0091,6,0.11113100000000001
0.0091,8,0.050343
0.0092,0,0.083564
0.0092,1,0.107005
0.0092,6,0.112471
0.0092,8,0.049659
0.009300000000000001,0,0.087557
0.009300000000000001,1,0.114327
0.009300000000000001,6,0.110999
0.009300000000000001,8,0.050872
0.0094,0,0.087314
0.0094,1,0.103735
0.0094,6,0.10642800000000001
0.0094,8,0.052451000000000005
0.0095,0,0.0848
0.0095,1,0.111557
0.0095,6,0.10912200000000001
0.0095,8,0.051987000000000005
0.009600000000000001,0,0.079649
0.009600000000000001,1,0.103114
0.009600000000000001,6,0.10908000000000001
0.009600000000000001,8,0.054493
0.0097,0,0.080693
0.0097,1,0.106476
0.0097,6,0.109789
0.0097,8,0.049438
0.0098,0,0.079296
0.0098,1,0.10830300000000001
0.0098,6,0.1066
0.0098,8,0.050931000000000004
0.0099,0,0.084697
0.0099,1,0.106597
0.0099,6,0.10716200000000001
0.0099,8,0.055394
0.01,0,0.081396
0.01,1,0.10816
0.01,6,0.107085
0.01,8,0.053466
0.010100000000000001,0,0.080106
0.010100000000000001,1,0.10502099999999999
0.010100000000000001,6,0.10945200000000001
0.010100000000000001,8,0.049908
0.0102,0,0.078643
0.0102,1,0.101663
0.0102,6,0.107962
0.0102,8,0.05162
0.0103,0,0.08222499999999999
0.0103,1,0.104305
0.0103,6,0.11618200000000001
0.0103,8,0.053371
0.010400000000000001,0,0.085746
0.010400000000000001,1,0.108948
0.010400000000000001,6,0.109392
0.010400000000000001,8,0.050983
0.0105,0,0.080954
0.0105,1,0.110237
0.0105,6,0.112681
0.0105,8,0.050138
0.0106,0,0.083909
0.0106,1,0.104906
0.0106,6,0.110742
0.0106,8,0.054189
0.010700000000000001,0,0.080948
0.010700000000000001,1,0.10345900000000001
0.010700000000000001,6,0.10379000000000001
0.010700000000000001,8,0.055601
0.0108,0,0.088981
0.0108,1,0.103505
0.0108,6,0.103951
0.0108,8,0.053818
0.0109,0,0.087524
0.0109,1,0.112834
0.0109,6,0.104516
0.0109,8,0.051444000000000004
0.011000000000000001,0,0.09287300000000001
0.011000000000000001,1,0.11758099999999999
0.011000000000000001,6,0.11821
0.011000000000000001,8,0.054487
0.0111,0,0.08561
0.0111,1,0.11236299999999999
0.0111,6,0.115827
0.0111,8,0.049482
0.0112,0,0.089535
0.0112,1,0.116789
0.0112,6,0.120327
0.0112,8,0.056714
0.011300000000000001,0,0.092312
0.011300000000000001,1,0.113826
0.011300000000000001,6,0.11801400000000001
0.011300000000000001,8,0.053428
0.0114,0,0.092523
0.0114,1,0.110449
0.0114,6,0.121337
0.0114,8,0.052643999999999996
0.0115,0,0.089544
0.0115,1,0.117598
0.0115,6,0.118132
0.0115,8,0.0523
0.011600000000000001,0,0.08987
0.011600000000000001,1,0.11779300000000001
0.011600000000000001,6,0.121014
0.011600000000000001,8,0.048989
0.0117,0,0.08071800000000001
0.0117,1,0.097764
0.0117,6,0.107353
0.0117,8,0.053327
0.0118,0,0.081194
0.0118,1,0.104308
0.0118,6,0.109005
0.0118,8,0.049846
0.0119,0,0.08902399999999999
0.0119,1,0.110364
0.0119,6,0.10696399999999999
0.0119,8,0.053330999999999996
0.012,0,0.09109300000000001
0.012,1,0.105874
0.012,6,0.117479
0.012,8,0.053578
0.012100000000000001,0,0.085956
