x,y
0.0,0.08102799999999999
0.001,0.085594
0.002,0.080507
0.003,0.089195
0.004,0.080085
0.005,0.082496
0.006,0.08111499999999999
0.007,0.085292
0.008,0.083163
0.009000000000000001,0.084985
0.01,0.082845
0.011,0.08415600000000001
0.012,0.079151
0.013000000000000001,0.080737
0.014,0.079817
0.015,0.085298
0.016,0.083014
0.017,0.083761
0.018000000000000002,0.09356
0.019,0.08751300000000001
0.02,0.08943
0.021,0.08396500000000001
0.022,0.082013
0.023,0.089352
0.024,0.084728
0.025,0.089005
0.026000000000000002,0.08887600000000001
0.027,0.082163
0.028,0.076743
0.029,0.08029
0.03,0.08133
0.031,0.080025
0.032,0.085004
0.033,0.083565
0.034,0.087746
0.035,0.08583099999999999
0.036000000000000004,0.08232300000000001
0.037,0.084202
0.038,0.091385
0.039,0.083512
0.04,0.089314
0.041,0.08343600000000001
0.042,0.084724
0.043000000000000003,0.080801
0.044,0.083702
0.045,0.082982
0.046,0.081455
0.047,0.08248
0.048,0.092958
0.049,0.084347
0.05,0.083909
0.051000000000000004,0.09018799999999999
0.052000000000000005,0.08599899999999999
0.053,0.090016
0.054,0.092209
0.055,0.089981
0.056,0.08085600000000001
0.057,0.07868
0.058,0.081439
0.059000000000000004,0.082563
0.06,0.08211199999999999
0.061,0.081626
0.062,0.078095
0.063,0.078961
0.064,0.087326
0.065,0.084108
0.066,0.081513
0.067,0.085041
0.068,0.084337
0.069,0.08383299999999999
0.07,0.078692
0.07100000000000001,0.08240800000000001
0.07200000000000001,0.08318400000000001
0.073,0.084736
0.074,0.088334
0.075,0.081837
0.076,0.081433
0.077,0.080138
0.078,0.080896
0.079,0.08194699999999999
0.08,0.080811
0.081,0.08171800000000001
0.082,0.080701
0.083,0.082676
0.084,0.078823
0.085,0.081403
0.08600000000000001,0.07988100000000001
0.08700000000000001,0.09213299999999999
0.088,0.081955
0.089,0.084378
0.09,0.086837
0.091,0.08261
0.092,0.089587
0.093,0.08313799999999999
0.094,0.08404
0.095,0.083399
0.096,0.082777
0.097,0.088671
0.098,0.088915
0.099,0.100205
0.1,0.09120600000000001
0.101,0.088562
0.10200000000000001,0.088584
0.10300000000000001,0.087995
0.10400000000000001,0.08218800000000001
0.105,0.087666
0.106,0.088177
0.107,0.08403
0.108,0.093597
0.109,0.082006
0.11,0.08101900000000001
0.111,0.088951
0.112,0.091586
0.113,0.085875
0.114,0.086731
0.115,0.090753
0.116,0.07949300000000001
0.117,0.088785
0.11800000000000001,0.086856
0.11900000000000001,0.089252
0.12,0.08461199999999999
0.121,0.089969
0.122,0.08799799999999999
0.123,0.083155
0.124,0.08250099999999999
0.125,0.077707
0.126,0.083015
0.127,0.088056
0.128,0.08365500000000001
0.129,0.079837
0.13,0.08433199999999999
0.131,0.092224
0.132,0.088144
0.133,0.090654
0.134,0.08103199999999999
0.135,0.080161
0.136,0.086631
0.137,0.08526500000000001
0.138,0.091456
0.139,0.08923700000000001
0.14,0.08549799999999999
0.14100000000000001,0.085745
0.14200000000000002,0.087815
0.14300000000000002,0.087988
0.14400000000000002,0.090684
0.145,0.08621200000000001
0.146,0.085368
0.147,0.079831
0.148,0.078437
0.149,0.090785
0.15,0.091413
0.151,0.08343600000000001
0.152,0.088454
0.153,0.088473
0.154,0.093151
0.155,0.082203
0.156,0.087074
0.157,0.09271399999999999
0.158,0.08632200000000001
0.159,0.088288
0.16,0.090487
0.161,0.08110200000000001
0.162,0.08487600000000001
0.163,0.08265700000000001
0.164,0.081479
0.165,0.090669
0.166,0.088643
0.167,0.091608
0.168,0.085894
0.169,0.08421400000000001
0.17,0.08763499999999999
0.171,0.085699
0.17200000000000001,0.086252
0.17300000000000001,0.083312
0.17400000000000002,0.08948500000000001
0.17500000000000002,0.091275
0.176,0.08477699999999999
0.177,0.091864
0.178,0.091652
0.179,0.087751
0.18,0.092808
0.181,0.09234600000000001
0.182,0.093273
0.183,0.094336
0.184,0.093994
0.185,0.092793
0.186,0.092322
0.187,0.091683
0.188,0.093727
0.189,0.09349
0.19,0.094295
0.191,0.091975
0.192,0.09054300000000001
0.193,0.08724000000000001
0.194,0.092542
0.195,0.08801400000000001
0.196,0.088182
0.197,0.082555
0.198,0.087286
0.199,0.086674
0.2,0.089229
0.201,0.08324000000000001
0.202,0.086846
0.203,0.083042
0.20400000000000001,0.09011
0.20500000000000002,0.091214
0.20600000000000002,0.087801
0.20700000000000002,0.08658199999999999
0.20800000000000002,0.087282
0.209,0.08316899999999999
0.21,0.08516699999999999
0.211,0.089501
0.212,0.08580499999999999
0.213,0.090977
0.214,0.086679
0.215,0.093692
0.216,0.086925
0.217,0.081482
0.218,0.084563
0.219,0.089477
0.22,0.08263999999999999
0.221,0.07994
0.222,0.090172
0.223,0.086784
0.224,0.08283
0.225,0.085549
0.226,0.08590400000000001
0.227,0.086975
0.228,0.08639
0.229,0.08382500000000001
0.23,0.08524899999999999
0.231,0.09246499999999999
0.232,0.087492
0.233,0.0794
0.234,0.077333
0.23500000000000001,0.079496
0.23600000000000002,0.084675
0.23700000000000002,0.081046
0.23800000000000002,0.081682
0.23900000000000002,0.08516299999999999
0.24,0.07871500000000001
0.241,0.079151
0.242,0.09094
0.243,0.085784
0.244,0.089265
0.245,0.087372
0.246,0.091645
0.247,0.089617
0.248,0.087781
0.249,0.08738599999999999
0.25,0.091116
0.251,0.083138
0.252,0.08796000000000001
0.253,0.093172
0.254,0.08105200000000001
0.255,0.091543
0.256,0.08926400000000001
0.257,0.09010499999999999
0.258,0.085832
0.259,0.085123
0.26,0.089557
0.261,0.091238
0.262,0.082993
0.263,0.08288100000000001
0.264,0.08746300000000001
0.265,0.08779100000000001
0.266,0.083756
0.267,0.089398
0.268,0.084006
0.269,0.087905
0.27,0.088705
0.271,0.082443
0.272,0.087141
0.273,0.081921
0.274,0.0853
0.275,0.09172
0.276,0.09032399999999999
0.277,0.092539
0.278,0.088609
0.279,0.087631
0.28,0.081624
0.281,0.083811
0.28200000000000003,0.07944799999999999
0.28300000000000003,0.082755
0.28400000000000003,0.084848
0.28500000000000003,0.091115
0.28600000000000003,0.090415
0.28700000000000003,0.088713
0.28800000000000003,0.09179
0.289,0.089618
0.29,0.090207
0.291,0.088188
0.292,0.082534
