"","b","MFlops"
"321",321,1591.098
"322",322,1579.012
"323",323,1572.39
"324",324,1564.028
"325",325,1552.644
"326",326,1559.93
"327",327,1555.052
"328",328,1577.72
"329",329,1578.184
"330",330,1551.816
"331",331,1568.976
"332",332,1562.032
"333",333,1545.724
"334",334,1568.422
"335",335,1566.824
"336",336,1589.152
"337",337,1582.256
"338",338,1566.698
"339",339,1572.336
"340",340,1572.38
"341",341,1559.116
"342",342,1568.746
"343",343,1573.192
"344",344,1592.562
"345",345,1578.508
"346",346,1575.544
"347",347,1577.324
"348",348,1572.162
"349",349,1556.502
"350",350,1563.264
"351",351,1573.826
"352",352,1592.748
"353",353,1574.57
"354",354,1572.318
"355",355,1568.054
"356",356,1566.98
"357",357,1551.57
"358",358,1551.288
"359",359,1564.51
"360",360,1586.122
"361",361,1569.79
"362",362,1574.998
"363",363,1559.402
"364",364,1563.732
"365",365,1552.098
"366",366,1544.424
"367",367,1566.06
"368",368,1572.838
"369",369,1562.702
"370",370,1566.888
"371",371,1547.998
"372",372,1545.104
"373",373,1550.586
"374",374,1534.712
"375",375,1553.09
"376",376,1571.618
"377",377,1553.128
"378",378,1564.742
"379",379,1555.006
"380",380,1547.96
"381",381,1543.552
"382",382,1543.212
"383",383,1547.504
"384",384,1565.044
"385",385,1553.816
"386",386,1543.852
"387",387,1542.19
"388",388,1535.622
"389",389,1524.516
"390",390,1527.57
"391",391,1533.278
"392",392,1541.428
"393",393,1529.844
"394",394,1536.396
"395",395,1520.694
"396",396,1513.522
"397",397,1511.058
"398",398,1497.118
"399",399,1500.61
"400",400,1524.606
"401",401,1506
"402",402,1499.85
"403",403,1503.09
"404",404,1497.316
"405",405,1478.486
"406",406,1478.478
"407",407,1493.37
"408",408,1494.712
"409",409,1483.77
"410",410,1493.664
"411",411,1481.146
"412",412,1469.208
"413",413,1465.27
"414",414,1473.288
"415",415,1469.448
"416",416,1478.692
"417",417,1469.426
"418",418,1469.95
"419",419,1462.826
"420",420,1455.262
"421",421,1446.274
"422",422,1447.872
"423",423,1447.988
"424",424,1459.01
"425",425,1443.83
"426",426,1448.662
"427",427,1447.478
"428",428,1438.324
"429",429,1424.54
"430",430,1415.922
"431",431,1430.454
"432",432,1445.802
"433",433,1422.484
"434",434,1407.024
"435",435,1422.154
"436",436,1422.436
"437",437,1413.69
"438",438,1403.686
"439",439,1404.596
"440",440,1416.82
"441",441,1411.954
"442",442,1406.09
"443",443,1396.586
"444",444,1391.13
"445",445,1386.16
"446",446,1389.446
"447",447,1387.94
"448",448,1393.024
"449",449,1377.86
"450",450,1381.344
"451",451,1379.592
"452",452,1375.014
"453",453,1365.386
"454",454,1365.012
"455",455,1365.686
"456",456,1364.844
"457",457,1353.244
"458",458,1348.004
"459",459,1340.246
"460",460,1332.814
"461",461,1326.404
"462",462,1324.606
"463",463,1321.198
"464",464,1317.344
"465",465,1306.164
"466",466,1299.218
"467",467,1288.716
"468",468,1284.77
"469",469,1273.432
"470",470,1270.516
"471",471,1265.262
"472",472,1253.244
"473",473,1242.074
"474",474,1233.758
"475",475,1248.35
"476",476,1241.944
"477",477,1228.506
"478",478,1225.094
"479",479,1235.774
"480",480,1221.674
"481",481,1201.168
"482",482,1191.45
"483",483,1197.282
"484",484,1190.678
"485",485,1182.372
"486",486,1177.162
"487",487,1177.138
"488",488,1171.07
"489",489,1158.734
"490",490,1149.498
"491",491,1146.748
"492",492,1140.148
"493",493,1138.094
"494",494,1132.678
"495",495,1128.202
"496",496,1116.466
"497",497,1118.398
"498",498,1110.222
"499",499,1109.568
"500",500,1102.064
"501",501,1108.214
"502",502,1108.016
"503",503,1106.864
"504",504,1097.888
"505",505,1102.41
"506",506,1099.728
"507",507,1096.458
"508",508,1097.184
"509",509,1093.508
"510",510,1094.168
"511",511,1089.772
"512",512,1087.73
"513",513,1091.456
"514",514,1089.47
"515",515,1094.608
"516",516,1091.4
"517",517,1098.558
"518",518,1096.562
"519",519,1101.31
"520",520,1099.242
"521",521,1101.272
"522",522,1105.59
"523",523,1103.714
"524",524,1106.98
"525",525,1108.146
"526",526,1114.41
"527",527,1111.568
"528",528,1113.154
"529",529,1114.836
"530",530,1118.806
"531",531,1116.952
"532",532,1121.604
"533",533,1124.104
"534",534,1128.732
"535",535,1125.212
"536",536,1124.17
"537",537,1128.746
"538",538,1130.792
"539",539,1132.322
"540",540,1129.444
"541",541,1132.312
"542",542,1138.132
"543",543,1139.626
"544",544,1134.07
"545",545,1134.472
"546",546,1134.09
"547",547,1138.284
"548",548,1138.478
"549",549,1136.038
"550",550,1136.55
"551",551,1136.88
"552",552,1142.296
"553",553,1137.386
"554",554,1132.85
"555",555,1132.854
"556",556,1132.13
"557",557,1141.586
"558",558,1135.238
"559",559,1133.962
"560",560,1133.224
"561",561,1130.978
"562",562,1137.276
"563",563,1129.146
"564",564,1128.722
"565",565,1130.906
"566",566,1135.922
"567",567,1139.02
"568",568,1131.376
"569",569,1128.592
"570",570,1127.824
"571",571,1131.222
"572",572,1129.904
"573",573,1129.634
"574",574,1131.622
"575",575,1135.432
"576",576,1138.07
"577",577,1131.674
"578",578,1128.258
"579",579,1126.714
"580",580,1130.694
"581",581,1132.956
"582",582,1134.746
"583",583,1132.574
"584",584,1136.22
"585",585,1133.644
"586",586,1132.588
"587",587,1128.014
"588",588,1127.756
"589",589,1135.568
"590",590,1133.726
"591",591,1137.42
"592",592,1134.988
"593",593,1130.678
"594",594,1134.918
"595",595,1129.584
"596",596,1132.65
"597",597,1133.516
"598",598,1140.024
"599",599,1140.742
"600",600,1136.686
"601",601,1136.312
"602",602,1132.894
"603",603,1134.538
"604",604,1130.244
"605",605,1133.666
"606",606,1140.004
"607",607,1136.828
"608",608,1140.078
"609",609,1133.308
"610",610,1133.382
"611",611,1134.082
"612",612,1135.198
"613",613,1138.652
"614",614,1138.422
"615",615,1139.658
"616",616,1142.53
"617",617,1138.374
"618",618,1136.97
"619",619,1129.182
"620",620,1130.436
"621",621,1137.22
"622",622,1140.134
"623",623,1135.712
"624",624,1136.446
"625",625,1131.416
"626",626,1134.242
"627",627,1131.95
"628",628,1127.868
"629",629,1131.598
"630",630,1134.156
"631",631,1141.242
"632",632,1137.178
"633",633,1127.704
"634",634,1127.88
"635",635,1127.396
"636",636,1132.1
"637",637,1118.58
"638",638,1131.568
"639",639,1131.782
"640",640,1139.092
"641",641,1132.808
"642",642,1125.166
"643",643,1122.446
"644",644,1120.7
"645",645,1132.882
"646",646,1128.568
"647",647,1129.26
"648",648,1128.672
"649",649,1129.334
"650",650,1125.426
"651",651,1119.842
"652",652,1119.03
"653",653,1127.524
"654",654,1132.442
"655",655,1124.97
"656",656,1113.67
"657",657,1119
"658",658,1124.168
"659",659,1119.308
"660",660,1113.2
"661",661,1118.3
"662",662,1124.404
"663",663,1123.89
"664",664,1120.722
"665",665,1115.576
"666",666,1118.446
"667",667,1115.094
"668",668,1111.868
"669",669,1114.43
"670",670,1120.236
"671",671,1120.336
"672",672,1119.394
"673",673,1111.186
"674",674,1114.324
"675",675,1108.342
"676",676,1110.988
"677",677,1110.352
"678",678,1116.39
"679",679,1111.986
"680",680,1116.114
"681",681,1107.442
"682",682,1110.35
"683",683,1104.46
"684",684,1107.188
"685",685,1107.018
"686",686,1112.304
"687",687,1108.412
"688",688,1111.304
"689",689,1106.844
"690",690,1101.726
"691",691,1102.756
"692",692,1103.356
"693",693,1107.294
"694",694,1105.746
"695",695,1109.026
"696",696,1105.396
"697",697,1102.236
"698",698,1097.954
"699",699,1100.046
"700",700,1100.406
"701",701,1099.548
"702",702,1102.11
"703",703,1103.528
"704",704,1105.452
"705",705,1095.17
"706",706,1094.578
"707",707,1100.566
"708",708,1092.734
"709",709,1096.418
"710",710,1102.008
"711",711,1103.192
"712",712,1098.782
"713",713,1091.546
"714",714,1098.316
"715",715,1090.516
"716",716,1089.584
"717",717,1096.51
"718",718,1097.672
"719",719,1095.342
"720",720,1094.92
"721",721,1095.352
"722",722,1087.536
"723",723,1088.574
"724",724,1085.984
"725",725,1089.244
"726",726,1088.474
"727",727,1089.846
"728",728,1094.292
"729",729,1087.046
"730",730,1083.212
"731",731,1092.588
"732",732,1081.856
"733",733,1086.804
"734",734,1089.996
"735",735,1090.44
"736",736,1086.748
"737",737,1083.098
"738",738,1088.198
"739",739,1078.698
"740",740,1077.518
"741",741,1088.99
"742",742,1079.094
"743",743,1083.52
"744",744,1082.884
"745",745,1081.652
"746",746,1078.46
"747",747,1082.604
"748",748,1076.274
"749",749,1078.762
"750",750,1082.696
"751",751,1082.65
"752",752,1078.2
"753",753,1078.836
"754",754,1077.306
"755",755,1074.56
"756",756,1073.644
"757",757,1078.15
"758",758,1076.708
"759",759,1080.238
"760",760,1075.682
"761",761,1072.016
"762",762,1074.528
"763",763,1070.72
"764",764,1072.104
"765",765,1075.344
"766",766,1071.92
"767",767,1074.844
"768",768,1075.188
"769",769,1067.934
"770",770,1070.79
"771",771,1070.73
"772",772,1062.702
"773",773,1071.504
"774",774,1071.136
"775",775,1068.586
"776",776,1070.51
"777",777,1067.89
"778",778,1064.004
"779",779,1066.636
"780",780,1063.256
"781",781,1064.798
"782",782,1066.606
"783",783,1064.19
"784",784,1063.25
"785",785,1065.764
"786",786,1059.22
"787",787,1059.008
"788",788,1063.132
"789",789,1059.864
"790",790,1059.762
"791",791,1063.652
"792",792,1059.322
"793",793,1058.896
"794",794,1056.152
"795",795,1055.67
"796",796,1057.868
"797",797,1056.842
"798",798,1056.312
"799",799,1062.934
"800",800,1055.94
"801",801,1051.16
"802",802,1051.772
"803",803,1050.754
"804",804,1051.072
"805",805,1052.074
"806",806,1050.578
"807",807,1058.21
"808",808,1051.802
"809",809,1048.034
"810",810,1051.142
"811",811,1048.612
"812",812,1050.168
"813",813,1048.718
"814",814,1048.112
"815",815,1051.368
"816",816,1048.176
"817",817,1046.584
"818",818,1045.718
"819",819,1043.894
"820",820,1045.816
"821",821,1045.878
"822",822,1044.82
"823",823,1047.516
"824",824,1044.416
"825",825,1044.282
"826",826,1040.944
"827",827,1040.474
"828",828,1042.938
"829",829,1040.21
"830",830,1044.512
"831",831,1044.024
"832",832,1041.96
"833",833,1037.346
"834",834,1037.45
"835",835,1040.33
"836",836,1040.51
"837",837,1039.44
"838",838,1037.432
"839",839,1034.614
"840",840,1037.664
"841",841,1036.2
"842",842,1037.27
"843",843,1033.508
"844",844,1034.112
"845",845,1035.096
"846",846,1037.806
"847",847,1038.64
"848",848,1037.888
"849",849,1033.918
"850",850,1031.714
"851",851,1031.176
"852",852,1031.83
"853",853,1035.04
"854",854,1034.81
"855",855,1032.856
"856",856,1030.88
"857",857,1028.58
"858",858,1031.544
"859",859,1028.546
"860",860,1027.304
"861",861,1033.872
"862",862,1031.298
"863",863,1033.486
"864",864,1030.962
"865",865,1028.946
"866",866,1027.834
"867",867,1027.586
"868",868,1028.98
"869",869,1028.546
"870",870,1030.864
"871",871,1028.174
"872",872,1027.606
"873",873,1023.862
"874",874,1024.668
"875",875,1027.038
"876",876,1024.026
"877",877,1030.79
"878",878,1024.946
"879",879,1025.27
"880",880,1024.938
"881",881,1020.548
"882",882,1020.34
"883",883,1018.214
"884",884,1026.394
"885",885,1020.98
"886",886,1027.494
"887",887,1021.042
"888",888,1021.26
"889",889,1016.996
"890",890,1016.952
"891",891,1018.984
"892",892,1015.45
"893",893,1023.38
"894",894,1017.854
"895",895,1021.432
