1.138652000000000044e+03, 6.125580054420009901e+02
1.473382000000000062e+03, 1.699006845912907977e+02
1.413690000000000055e+03, 4.366229603517990085e+02
1.067933999999999969e+03, 7.694932100505997141e+02
1.561486000000000104e+03, 2.960299790984732908e+02
1.595115999999999985e+03, 1.500137941823502956e+02
1.192723999999999933e+03, 2.345584621961760519e+01
1.446273999999999887e+03, 4.208042677722931444e+02
1.546417999999999893e+03, 2.394434591051995938e+02
1.566698000000000093e+03, 3.383185356969035524e+02
1.546390000000000100e+03, 2.834820545591413747e+02
1.120236000000000104e+03, 6.699306380083831982e+02
1.536950000000000045e+03, 3.013749062660252207e+02
1.995599999999999909e+03, 1.209999963814629922e+02
1.014453999999999951e+03, 9.008737758845368262e+02
1.036200000000000045e+03, 8.407290790755569105e+02
9.949160000000000537e+02, 1.000000000000000000e+03
1.048112000000000080e+03, 8.139531501194512657e+02
1.411814000000000078e+03, 2.842051185334057806e+01
1.555205999999999904e+03, 1.840003690028178198e+02
